Liga	Team	Meisterschaften	davon Bundesliga	davon Meisterschaften DDR	jemals Meister
1. Bundesliga	Borussia Dortmund	8	5	0	TRUE
1. Bundesliga	FC Bayern München	33	32	0	TRUE
1. Bundesliga	Eintracht Frankfurt	1	0	0	TRUE
1. Bundesliga	Borussia Mönchengladbach	5	5	0	TRUE
1. Bundesliga	1. FC Köln	3	2	0	TRUE
1. Bundesliga	VfB Stuttgart	5	3	0	TRUE
1. Bundesliga	RB Leipzig	0	0	0	FALSE
1. Bundesliga	Werder Bremen	4	4	0	TRUE
1. Bundesliga	SC Freiburg	0	0	0	FALSE
1. Bundesliga	1. FSV Mainz 05	0	0	0	FALSE
1. Bundesliga	FC Augsburg	0	0	0	FALSE
1. Bundesliga	Bayer 04 Leverkusen	0	0	0	FALSE
1. Bundesliga	TSG 1899 Hoffenheim	0	0	0	FALSE
1. Bundesliga	VfL Wolfsburg	1	1	0	TRUE
1. Bundesliga	VfL Bochum	0	0	0	FALSE
1. Bundesliga	1. FC Union Berlin	0	0	0	FALSE
1. Bundesliga	SV Darmstadt 98	0	0	0	FALSE
1. Bundesliga	1. FC Heidenheim	0	0	0	FALSE
2. Bundesliga	FC Schalke 04	7	0	0	TRUE
2. Bundesliga	Hamburger SV	6	3	0	TRUE
2. Bundesliga	1. FC Kaiserslautern	4	2	0	TRUE
2. Bundesliga	Fortuna Düsseldorf	1	0	0	TRUE
2. Bundesliga	Hertha BSC	2	0	0	TRUE
2. Bundesliga	Karlsruher SC	1	0	0	TRUE
2. Bundesliga	1. FC Nürnberg	9	1	0	TRUE
2. Bundesliga	FC St. Pauli	0	0	0	FALSE
2. Bundesliga	Hannover 96	2	0	0	TRUE
2. Bundesliga	1. FC Magdeburg	3	0	3	TRUE
2. Bundesliga	Hansa Rostock	1	0	1	TRUE
2. Bundesliga	Eintracht Braunschweig	1	1	0	TRUE
2. Bundesliga	VfL Osnabrück	0	0	0	FALSE
2. Bundesliga	SC Paderborn 07	0	0	0	FALSE
2. Bundesliga	Holstein Kiel	1	0	0	TRUE
2. Bundesliga	SpVgg Greuther Fürth	3	0	0	TRUE
2. Bundesliga	SV Elversberg	0	0	0	FALSE
2. Bundesliga	SV Wehen Wiesbaden	0	0	0	FALSE