match_date;match_time;competition;home_team;away_team;home_goals;away_goals;result_extra
1908-04-05;00:00;Länderspiel;Schweiz;Deutschland;5;3;NA
1908-04-20;00:00;Länderspiel;Deutschland;England;1;5;NA
1908-06-07;18:00;Länderspiel;Österreich;Deutschland;3;2;NA
1909-03-13;00:00;Länderspiel;England;Deutschland;9;0;NA
1909-04-04;00:00;Länderspiel;Deutschland;Schweiz;1;0;NA
1909-04-04;00:00;Länderspiel;Ungarn;Deutschland;3;3;NA
1910-04-03;00:00;Länderspiel;Schweiz;Deutschland;2;3;NA
1910-04-24;00:00;Länderspiel;Niederlande;Deutschland;4;2;NA
1910-05-16;00:00;Länderspiel;Deutschland;Belgien;0;3;NA
1910-10-16;00:00;Länderspiel;Deutschland;Niederlande;1;2;NA
1911-03-26;00:00;Länderspiel;Deutschland;Schweiz;6;2;NA
1911-04-14;00:00;Länderspiel;Deutschland;England;2;2;NA
1911-04-23;00:00;Länderspiel;Belgien;Deutschland;2;1;NA
1911-06-18;00:00;Länderspiel;Schweden;Deutschland;2;4;NA
1911-09-10;00:00;Länderspiel;Deutschland;Österreich;1;2;NA
1911-10-29;00:00;Länderspiel;Deutschland;Schweden;1;3;NA
1911-12-17;00:00;Länderspiel;Deutschland;Ungarn;1;4;NA
1912-03-24;00:00;Länderspiel;Niederlande;Deutschland;5;5;NA
1912-04-14;00:00;Länderspiel;Ungarn;Deutschland;4;4;NA
1912-05-05;00:00;Länderspiel;Schweiz;Deutschland;1;2;NA
1912-06-29;15:00;Olympische Spiele;Österreich;Deutschland;5;1;NA
1912-07-01;17:00;Olympische Spiele;Deutschland;Russland;16;0;NA
1912-07-03;15:00;Olympische Spiele;Ungarn;Deutschland;3;1;NA
1912-10-06;00:00;Länderspiel;Dänemark;Deutschland;3;1;NA
1912-11-17;00:00;Länderspiel;Deutschland;Niederlande;2;3;NA
1913-03-21;00:00;Länderspiel;Deutschland;England;0;3;NA
1913-05-18;00:00;Länderspiel;Deutschland;Schweiz;1;2;NA
1913-10-26;00:00;Länderspiel;Deutschland;Dänemark;1;4;NA
1913-11-23;00:00;Länderspiel;Belgien;Deutschland;6;2;NA
1914-04-05;00:00;Länderspiel;Niederlande;Deutschland;4;4;NA
1920-06-27;00:00;Länderspiel;Schweiz;Deutschland;4;1;NA
1920-09-26;15:30;Länderspiel;Österreich;Deutschland;3;2;NA
1920-10-24;00:00;Länderspiel;Deutschland;Ungarn;1;0;NA
1921-05-05;00:00;Länderspiel;Deutschland;Österreich;3;3;NA
1921-06-05;00:00;Länderspiel;Ungarn;Deutschland;3;0;NA
1921-09-18;00:00;Länderspiel;Finnland;Deutschland;3;3;NA
1922-03-26;00:00;Länderspiel;Deutschland;Schweiz;2;2;NA
1922-04-23;16:30;Länderspiel;Österreich;Deutschland;0;2;NA
1922-07-02;00:00;Länderspiel;Deutschland;Ungarn;0;0;NA
1923-01-01;00:00;Länderspiel;Italien;Deutschland;3;1;NA
1923-05-10;00:00;Länderspiel;Deutschland;Niederlande;0;0;NA
1923-06-03;00:00;Länderspiel;Schweiz;Deutschland;1;2;NA
1923-06-29;00:00;Länderspiel;Schweden;Deutschland;2;1;NA
1923-08-12;00:00;Länderspiel;Deutschland;Finnland;1;2;NA
1923-11-04;00:00;Länderspiel;Deutschland;Norwegen;1;0;NA
1924-01-13;15:00;Länderspiel;Deutschland;Österreich;4;3;NA
1924-04-21;00:00;Länderspiel;Niederlande;Deutschland;0;1;NA
1924-06-15;00:00;Länderspiel;Norwegen;Deutschland;0;2;NA
1924-08-31;00:00;Länderspiel;Deutschland;Schweden;1;4;NA
1924-09-21;00:00;Länderspiel;Ungarn;Deutschland;4;1;NA
1924-11-23;00:00;Länderspiel;Deutschland;Italien;0;1;NA
1924-12-14;00:00;Länderspiel;Deutschland;Schweiz;1;1;NA
1925-03-29;00:00;Länderspiel;Niederlande;Deutschland;2;1;NA
1925-06-21;00:00;Länderspiel;Schweden;Deutschland;1;0;NA
1925-06-26;00:00;Länderspiel;Finnland;Deutschland;3;5;NA
1925-10-25;00:00;Länderspiel;Schweiz;Deutschland;0;4;NA
1926-04-18;00:00;Länderspiel;Deutschland;Niederlande;4;2;NA
1926-06-20;00:00;Länderspiel;Deutschland;Schweden;3;3;NA
1926-10-31;00:00;Länderspiel;Niederlande;Deutschland;2;3;NA
1926-12-12;00:00;Länderspiel;Deutschland;Schweiz;2;3;NA
1927-10-02;00:00;Länderspiel;Dänemark;Deutschland;3;1;NA
1927-10-23;15:15;Länderspiel;Deutschland;Norwegen;6;2;NA
1927-11-20;00:00;Länderspiel;Deutschland;Niederlande;2;2;NA
1928-04-15;00:00;Länderspiel;Schweiz;Deutschland;2;3;NA
1928-05-28;14:00;Olympische Spiele;Schweiz;Deutschland;0;4;NA
1928-06-03;16:00;Olympische Spiele;Uruguay;Deutschland;4;1;NA
1928-09-16;00:00;Länderspiel;Deutschland;Dänemark;2;1;NA
1928-09-23;00:00;Länderspiel;Norwegen;Deutschland;0;2;NA
1928-09-30;00:00;Länderspiel;Schweden;Deutschland;2;0;NA
1929-02-10;00:00;Länderspiel;Deutschland;Schweiz;7;1;NA
1929-04-28;00:00;Länderspiel;Italien;Deutschland;1;2;NA
1929-06-01;00:00;Länderspiel;Deutschland;Schottland;1;1;NA
1929-06-23;00:00;Länderspiel;Deutschland;Schweden;3;0;NA
1929-10-20;00:00;Länderspiel;Deutschland;Finnland;4;0;NA
1930-03-02;00:00;Länderspiel;Deutschland;Italien;0;2;NA
1930-05-04;00:00;Länderspiel;Schweiz;Deutschland;0;5;NA
1930-05-10;00:00;Länderspiel;Deutschland;England;3;3;NA
1930-09-07;00:00;Länderspiel;Dänemark;Deutschland;6;3;NA
1930-09-28;00:00;Länderspiel;Deutschland;Ungarn;5;3;NA
1930-11-02;00:00;Länderspiel;Deutschland;Norwegen;1;1;NA
1931-03-15;00:00;Länderspiel;Frankreich;Deutschland;1;0;NA
1931-04-26;00:00;Länderspiel;Niederlande;Deutschland;1;1;NA
1931-05-24;00:00;Länderspiel;Deutschland;Österreich;0;6;NA
1931-06-17;00:00;Länderspiel;Schweden;Deutschland;0;0;NA
1931-06-21;00:00;Länderspiel;Norwegen;Deutschland;2;2;NA
1931-09-13;00:00;Länderspiel;Österreich;Deutschland;5;0;NA
1931-09-27;00:00;Länderspiel;Deutschland;Dänemark;4;2;NA
1932-03-06;00:00;Länderspiel;Deutschland;Schweiz;2;0;NA
1932-07-01;00:00;Länderspiel;Finnland;Deutschland;1;4;NA
1932-09-25;00:00;Länderspiel;Deutschland;Schweden;4;3;NA
1932-10-30;00:00;Länderspiel;Ungarn;Deutschland;2;1;NA
1932-12-04;00:00;Länderspiel;Deutschland;Niederlande;0;2;NA
1933-01-01;00:00;Länderspiel;Italien;Deutschland;3;1;NA
1933-03-19;00:00;Länderspiel;Deutschland;Frankreich;3;3;NA
1933-10-22;00:00;Länderspiel;Deutschland;Belgien;8;1;NA
1933-11-05;00:00;Länderspiel;Deutschland;Norwegen;2;2;NA
1933-11-19;00:00;Länderspiel;Schweiz;Deutschland;0;2;NA
1933-12-03;00:00;Länderspiel;Deutschland;Polen;1;0;NA
1934-01-14;00:00;Länderspiel;Deutschland;Ungarn;3;1;NA
1934-03-11;NA;WM-Qualifikation (Europa);Luxemburg;Deutschland;1;9;NA
1934-05-27;16:30;Weltmeisterschaft;Deutschland;Belgien;5;2;NA
1934-05-31;16:30;Weltmeisterschaft;Deutschland;Schweden;2;1;NA
1934-06-03;16:30;Weltmeisterschaft;Tschechoslowakei;Deutschland;3;1;NA
1934-06-07;18:00;Weltmeisterschaft;Deutschland;Österreich;3;2;NA
1934-09-09;00:00;Länderspiel;Polen;Deutschland;2;5;NA
1934-10-07;00:00;Länderspiel;Dänemark;Deutschland;2;5;NA
1935-01-27;00:00;Länderspiel;Deutschland;Schweiz;4;0;NA
1935-02-17;00:00;Länderspiel;Niederlande;Deutschland;2;3;NA
1935-03-17;00:00;Länderspiel;Frankreich;Deutschland;1;3;NA
1935-04-28;00:00;Länderspiel;Belgien;Deutschland;1;6;NA
1935-05-08;00:00;Länderspiel;Deutschland;Republik Irland;3;1;NA
1935-05-12;00:00;Länderspiel;Deutschland;Spanien;1;2;NA
1935-05-26;00:00;Länderspiel;Deutschland;Tschechoslowakei;2;1;NA
1935-06-27;00:00;Länderspiel;Norwegen;Deutschland;1;1;NA
1935-06-30;00:00;Länderspiel;Schweden;Deutschland;3;1;NA
1935-08-18;00:00;Länderspiel;Luxemburg;Deutschland;0;1;NA
1935-08-18;00:00;Länderspiel;Deutschland;Finnland;6;0;NA
1935-08-25;00:00;Länderspiel;Deutschland;Rumänien;4;2;NA
1935-09-15;00:00;Länderspiel;Polen;Deutschland;0;1;NA
1935-09-15;00:00;Länderspiel;Deutschland;Estland;5;0;NA
1935-10-13;00:00;Länderspiel;Deutschland;Lettland;3;0;NA
1935-10-20;00:00;Länderspiel;Deutschland;Bulgarien;4;2;NA
1935-12-04;00:00;Länderspiel;England;Deutschland;3;0;NA
1936-02-23;00:00;Länderspiel;Spanien;Deutschland;1;2;NA
1936-02-27;00:00;Länderspiel;Portugal;Deutschland;1;3;NA
1936-03-15;00:00;Länderspiel;Ungarn;Deutschland;3;2;NA
1936-08-04;17:30;Olympische Spiele;Deutschland;Luxemburg;9;0;NA
1936-08-07;17:30;Olympische Spiele;Deutschland;Norwegen;0;2;NA
1936-09-13;00:00;Länderspiel;Polen;Deutschland;1;1;NA
1936-09-27;00:00;Länderspiel;Tschechoslowakei;Deutschland;1;2;NA
1936-09-27;00:00;Länderspiel;Deutschland;Luxemburg;7;2;NA
1936-10-14;00:00;Länderspiel;Schottland;Deutschland;2;0;NA
1936-10-17;00:00;Länderspiel;Republik Irland;Deutschland;5;2;NA
1936-11-15;00:00;Länderspiel;Deutschland;Italien;2;2;NA
1937-01-31;00:00;Länderspiel;Deutschland;Niederlande;2;2;NA
1937-03-21;00:00;Länderspiel;Luxemburg;Deutschland;2;3;NA
1937-03-21;00:00;Länderspiel;Deutschland;Frankreich;4;0;NA
1937-04-25;00:00;Länderspiel;Deutschland;Belgien;1;0;NA
1937-05-02;00:00;Länderspiel;Schweiz;Deutschland;0;1;NA
1937-05-16;00:00;Länderspiel;Deutschland;Dänemark;8;0;NA
1937-06-25;00:00;Länderspiel;Lettland;Deutschland;1;3;NA
1937-06-29;NA;WM-Qualifikation (Europa);Finnland;Deutschland;0;2;NA
1937-08-29;NA;WM-Qualifikation (Europa);Deutschland;Estland;4;1;NA
1937-10-24;00:00;Länderspiel;Deutschland;Norwegen;3;0;NA
1937-11-21;NA;WM-Qualifikation (Europa);Deutschland;Schweden;5;0;NA
1938-02-06;00:00;Länderspiel;Deutschland;Schweiz;1;1;NA
1938-03-20;00:00;Länderspiel;Deutschland;Luxemburg;2;1;NA
1938-03-20;00:00;Länderspiel;Deutschland;Ungarn;1;1;NA
1938-04-24;00:00;Länderspiel;Deutschland;Portugal;1;1;NA
1938-05-14;00:00;Länderspiel;Deutschland;England;3;6;NA
1938-06-04;17:00;Weltmeisterschaft;Schweiz;Deutschland;1;1;n.V.
1938-06-09;18:00;Weltmeisterschaft;Schweiz;Deutschland;4;2;Wied
1938-09-18;00:00;Länderspiel;Deutschland;Polen;4;1;NA
1938-09-25;00:00;Länderspiel;Rumänien;Deutschland;1;4;NA
1939-01-29;00:00;Länderspiel;Belgien;Deutschland;1;4;NA
1939-02-26;00:00;Länderspiel;Deutschland;Jugoslawien;3;2;NA
1939-03-26;00:00;Länderspiel;Italien;Deutschland;3;2;NA
1939-03-26;00:00;Länderspiel;Luxemburg;Deutschland;2;1;NA
1939-05-23;00:00;Länderspiel;Deutschland;Republik Irland;1;1;NA
1939-06-22;00:00;Länderspiel;Norwegen;Deutschland;0;4;NA
1939-06-25;00:00;Länderspiel;Dänemark;Deutschland;0;2;NA
1939-06-29;00:00;Länderspiel;Estland;Deutschland;0;2;NA
1939-08-27;00:00;Länderspiel;Slowakei;Deutschland;2;0;NA
1939-09-24;00:00;Länderspiel;Ungarn;Deutschland;5;1;NA
1939-10-15;00:00;Länderspiel;Jugoslawien;Deutschland;1;5;NA
1939-10-22;00:00;Länderspiel;Bulgarien;Deutschland;1;2;NA
1939-11-12;00:00;Länderspiel;Deutschland;Böhmen-Mähren;4;4;NA
1939-11-26;00:00;Länderspiel;Deutschland;Italien;5;2;NA
1939-12-03;00:00;Länderspiel;Deutschland;Slowakei;3;1;NA
1940-04-07;00:00;Länderspiel;Deutschland;Ungarn;2;2;NA
1940-04-14;00:00;Länderspiel;Deutschland;Jugoslawien;1;2;NA
1940-05-05;00:00;Länderspiel;Italien;Deutschland;3;2;NA
1940-07-14;00:00;Länderspiel;Deutschland;Rumänien;9;3;NA
1940-09-01;00:00;Länderspiel;Deutschland;Finnland;13;0;NA
1940-09-15;00:00;Länderspiel;Slowakei;Deutschland;0;1;NA
1940-10-06;00:00;Länderspiel;Ungarn;Deutschland;2;2;NA
1940-10-20;00:00;Länderspiel;Deutschland;Bulgarien;7;3;NA
1940-11-03;00:00;Länderspiel;Jugoslawien;Deutschland;2;0;NA
1940-11-17;00:00;Länderspiel;Deutschland;Dänemark;1;0;NA
1941-03-09;00:00;Länderspiel;Deutschland;Schweiz;4;2;NA
1941-04-06;00:00;Länderspiel;Deutschland;Ungarn;7;0;NA
1941-04-20;00:00;Länderspiel;Schweiz;Deutschland;2;1;NA
1941-06-01;00:00;Länderspiel;Rumänien;Deutschland;1;4;NA
1941-06-15;00:00;Länderspiel;Deutschland;Kroatien;5;1;NA
1941-10-05;00:00;Länderspiel;Schweden;Deutschland;4;2;NA
1941-10-05;00:00;Länderspiel;Finnland;Deutschland;0;6;NA
1941-11-16;00:00;Länderspiel;Deutschland;Dänemark;1;1;NA
1941-12-07;00:00;Länderspiel;Deutschland;Slowakei;4;0;NA
1942-01-20;00:00;Länderspiel;Kroatien;Deutschland;0;2;NA
1942-02-01;00:00;Länderspiel;Deutschland;Schweiz;1;2;NA
1942-04-12;00:00;Länderspiel;Deutschland;Spanien;1;1;NA
1942-05-03;00:00;Länderspiel;Ungarn;Deutschland;3;5;NA
1942-07-19;00:00;Länderspiel;Bulgarien;Deutschland;0;3;NA
1942-08-16;16:00;Länderspiel;Deutschland;Rumänien;7;0;NA
1942-09-20;00:00;Länderspiel;Deutschland;Schweden;2;3;NA
1942-10-18;00:00;Länderspiel;Schweiz;Deutschland;3;5;NA
1942-11-01;00:00;Länderspiel;Deutschland;Kroatien;5;1;NA
1942-11-22;00:00;Länderspiel;Slowakei;Deutschland;2;5;NA
1950-11-22;00:00;Länderspiel;BRD;Schweiz;1;0;NA
1951-04-15;00:00;Länderspiel;Schweiz;BRD;2;3;NA
1951-06-17;00:00;Länderspiel;BRD;Türkei;1;2;NA
1951-09-23;16:00;Länderspiel;Österreich;BRD;0;2;NA
1951-10-17;00:00;Länderspiel;Republik Irland;BRD;3;2;NA
1951-11-21;00:00;Länderspiel;Türkei;BRD;0;2;NA
1951-12-23;00:00;Länderspiel;BRD;Luxemburg;4;1;NA
1952-04-20;00:00;Länderspiel;Luxemburg;BRD;0;3;NA
1952-05-04;00:00;Länderspiel;BRD;Republik Irland;3;0;NA
1952-10-05;00:00;Länderspiel;Frankreich;BRD;3;1;NA
1952-11-09;00:00;Länderspiel;BRD;Schweiz;5;1;NA
1952-12-21;00:00;Länderspiel;BRD;Jugoslawien;3;2;NA
1952-12-28;00:00;Länderspiel;Spanien;BRD;2;2;NA
1953-03-22;17:00;Länderspiel;BRD;Österreich;0;0;NA
1953-08-19;NA;WM-Qualifikation (Europa);Norwegen;BRD;1;1;NA
1953-10-11;NA;WM-Qualifikation (Europa);BRD;Saarland;3;0;NA
1953-11-22;NA;WM-Qualifikation (Europa);BRD;Norwegen;5;1;NA
1954-03-28;NA;WM-Qualifikation (Europa);Saarland;BRD;1;3;NA
1954-04-25;00:00;Länderspiel;Schweiz;BRD;3;5;NA
1954-06-17;18:00;Weltmeisterschaft;BRD;Türkei;4;1;NA
1954-06-20;16:50;Weltmeisterschaft;Ungarn;BRD;8;3;NA
1954-06-23;18:00;Weltmeisterschaft;BRD;Türkei;7;2;Ent
1954-06-27;17:00;Weltmeisterschaft;BRD;Jugoslawien;2;0;NA
1954-06-30;18:00;Weltmeisterschaft;BRD;Österreich;6;1;NA
1954-07-04;17:00;Weltmeisterschaft;BRD;Ungarn;3;2;NA
1954-09-26;00:00;Länderspiel;Belgien;BRD;2;0;NA
1954-10-16;00:00;Länderspiel;BRD;Frankreich;1;3;NA
1954-12-01;00:00;Länderspiel;England;BRD;3;1;NA
1954-12-19;00:00;Länderspiel;Portugal;BRD;0;3;NA
1955-03-30;00:00;Länderspiel;BRD;Italien;1;2;NA
1955-05-28;00:00;Länderspiel;BRD;Republik Irland;2;1;NA
1955-08-21;00:00;Länderspiel;UdSSR;BRD;3;2;NA
1955-09-25;00:00;Länderspiel;Jugoslawien;BRD;3;1;NA
1955-11-16;00:00;Länderspiel;BRD;Norwegen;2;0;NA
1955-12-18;00:00;Länderspiel;Italien;BRD;2;1;NA
1956-03-14;00:00;Länderspiel;BRD;Niederlande;1;2;NA
1956-05-26;00:00;Länderspiel;BRD;England;1;3;NA
1956-06-13;00:00;Länderspiel;Norwegen;BRD;1;3;NA
1956-06-30;00:00;Länderspiel;Schweden;BRD;2;2;NA
1956-09-15;00:00;Länderspiel;BRD;UdSSR;1;2;NA
1956-11-21;00:00;Länderspiel;BRD;Schweiz;1;3;NA
1956-11-25;00:00;Länderspiel;Republik Irland;BRD;3;0;NA
1956-12-23;00:00;Länderspiel;BRD;Belgien;4;1;NA
1957-03-10;14:30;Länderspiel;Österreich;BRD;2;3;NA
1957-04-03;00:00;Länderspiel;Niederlande;BRD;1;2;NA
1957-05-22;00:00;Länderspiel;BRD;Schottland;1;3;NA
1957-11-20;00:00;Länderspiel;BRD;Schweden;1;0;NA
1957-12-22;00:00;Länderspiel;BRD;Ungarn;1;0;NA
1958-03-02;00:00;Länderspiel;Belgien;BRD;0;2;NA
1958-03-19;00:00;Länderspiel;BRD;Spanien;2;0;NA
1958-04-02;00:00;Länderspiel;Tschechoslowakei;BRD;3;2;NA
1958-06-08;19:00;Weltmeisterschaft;Argentinien;BRD;1;3;NA
1958-06-11;19:00;Weltmeisterschaft;BRD;Tschechoslowakei;2;2;NA
1958-06-15;19:00;Weltmeisterschaft;BRD;Nordirland;2;2;NA
1958-06-19;19:00;Weltmeisterschaft;BRD;Jugoslawien;1;0;NA
1958-06-24;19:00;Weltmeisterschaft;Schweden;BRD;3;1;NA
1958-06-28;17:00;Weltmeisterschaft;Frankreich;BRD;6;3;NA
1958-09-24;00:00;Länderspiel;Dänemark;BRD;1;1;NA
1958-10-26;00:00;Länderspiel;Frankreich;BRD;2;2;NA
1958-11-19;14:00;Länderspiel;BRD;Österreich;2;2;NA
1958-12-21;00:00;Länderspiel;BRD;Bulgarien;3;0;NA
1958-12-28;00:00;Länderspiel;Ägypten;BRD;2;1;NA
1959-05-06;00:00;Länderspiel;Schottland;BRD;3;2;NA
1959-05-20;00:00;Länderspiel;BRD;Polen;1;1;NA
1959-10-04;00:00;Länderspiel;Schweiz;BRD;0;4;NA
1959-10-21;00:00;Länderspiel;BRD;Niederlande;7;0;NA
1959-11-08;00:00;Länderspiel;Ungarn;BRD;4;3;NA
1959-12-20;00:00;Länderspiel;BRD;Jugoslawien;1;1;NA
1960-03-23;00:00;Länderspiel;BRD;Chile;2;1;NA
1960-04-27;00:00;Länderspiel;BRD;Portugal;2;1;NA
1960-05-11;00:00;Länderspiel;BRD;Republik Irland;0;1;NA
1960-08-03;00:00;Länderspiel;Island;BRD;0;5;NA
1960-10-26;NA;WM-Qualifikation (Europa);Nordirland;BRD;3;4;NA
1960-11-20;NA;WM-Qualifikation (Europa);Griechenland;BRD;0;3;NA
1960-11-23;00:00;Länderspiel;Bulgarien;BRD;2;1;NA
1961-03-08;00:00;Länderspiel;BRD;Belgien;1;0;NA
1961-03-26;00:00;Länderspiel;Chile;BRD;3;1;NA
1961-05-10;NA;WM-Qualifikation (Europa);BRD;Nordirland;2;1;NA
1961-09-20;00:00;Länderspiel;BRD;Dänemark;5;1;NA
1961-10-08;00:00;Länderspiel;Polen;BRD;0;2;NA
1961-10-22;NA;WM-Qualifikation (Europa);BRD;Griechenland;2;1;NA
1962-04-11;00:00;Länderspiel;BRD;Uruguay;3;0;NA
1962-05-31;15:00;Weltmeisterschaft;BRD;Italien;0;0;NA
1962-06-03;15:00;Weltmeisterschaft;BRD;Schweiz;2;1;NA
1962-06-06;15:00;Weltmeisterschaft;BRD;Chile;2;0;NA
1962-06-10;14:30;Weltmeisterschaft;Jugoslawien;BRD;1;0;NA
1962-09-30;00:00;Länderspiel;Jugoslawien;BRD;2;3;NA
1962-10-24;00:00;Länderspiel;BRD;Frankreich;2;2;NA
1962-12-23;00:00;Länderspiel;BRD;Schweiz;5;1;NA
1963-05-05;00:00;Länderspiel;BRD;Brasilien;1;2;NA
1963-09-28;00:00;Länderspiel;BRD;Türkei;3;0;NA
1963-11-03;00:00;Länderspiel;Schweden;BRD;2;1;NA
1963-12-29;00:00;Länderspiel;Marokko;BRD;1;4;NA
1964-01-01;00:00;Länderspiel;Algerien;BRD;2;0;NA
1964-04-29;00:00;Länderspiel;BRD;Tschechoslowakei;3;4;NA
1964-05-12;00:00;Länderspiel;BRD;Schottland;2;2;NA
1964-06-07;00:00;Länderspiel;Finnland;BRD;1;4;NA
1964-11-04;00:00;WM-Qualifikation (Europa);BRD;Schweden;1;1;NA
1965-03-13;00:00;Länderspiel;BRD;Italien;1;1;NA
1965-04-24;00:00;WM-Qualifikation (Europa);BRD;Zypern;5;0;NA
1965-05-12;00:00;Länderspiel;BRD;England;0;1;NA
1965-05-26;00:00;Länderspiel;Schweiz;BRD;0;1;NA
1965-06-06;00:00;Länderspiel;Brasilien;BRD;2;0;NA
1965-09-26;00:00;WM-Qualifikation (Europa);Schweden;BRD;1;2;NA
1965-10-09;16:00;Länderspiel;BRD;Österreich;4;1;NA
1965-11-14;00:00;WM-Qualifikation (Europa);Zypern;BRD;0;6;NA
1966-02-23;00:00;Länderspiel;England;BRD;1;0;NA
1966-03-23;00:00;Länderspiel;Niederlande;BRD;2;4;NA
1966-05-04;00:00;Länderspiel;Republik Irland;BRD;0;4;NA
1966-05-07;00:00;Länderspiel;Nordirland;BRD;0;2;NA
1966-06-01;00:00;Länderspiel;BRD;Rumänien;1;0;NA
1966-06-23;00:00;Länderspiel;BRD;Jugoslawien;2;0;NA
1966-07-12;19:30;Weltmeisterschaft;BRD;Schweiz;5;0;NA
1966-07-16;15:00;Weltmeisterschaft;BRD;Argentinien;0;0;NA
1966-07-20;19:30;Weltmeisterschaft;BRD;Spanien;2;1;NA
1966-07-23;15:00;Weltmeisterschaft;BRD;Uruguay;4;0;NA
1966-07-25;19:30;Weltmeisterschaft;BRD;UdSSR;2;1;NA
1966-07-30;15:00;Weltmeisterschaft;England;BRD;4;2;n.V.
1966-10-12;00:00;Länderspiel;Türkei;BRD;0;2;NA
1966-11-19;00:00;Länderspiel;BRD;Norwegen;3;0;NA
1967-02-22;00:00;Länderspiel;BRD;Marokko;5;1;NA
1967-03-22;00:00;Länderspiel;BRD;Bulgarien;1;0;NA
1967-04-08;00:00;EM-Qualifikation;BRD;Albanien;6;0;NA
1967-05-03;00:00;EM-Qualifikation;Jugoslawien;BRD;1;0;NA
1967-09-27;00:00;Länderspiel;BRD;Frankreich;5;1;NA
1967-10-07;00:00;EM-Qualifikation;BRD;Jugoslawien;3;1;NA
1967-11-22;00:00;Länderspiel;Rumänien;BRD;1;0;NA
1967-12-17;00:00;EM-Qualifikation;Albanien;BRD;0;0;NA
1968-03-06;00:00;Länderspiel;Belgien;BRD;1;3;NA
1968-04-17;00:00;Länderspiel;Schweiz;BRD;0;0;NA
1968-05-08;00:00;Länderspiel;Wales;BRD;1;1;NA
1968-06-01;00:00;Länderspiel;BRD;England;1;0;NA
1968-06-16;00:00;Länderspiel;BRD;Brasilien;2;1;NA
1968-09-25;00:00;Länderspiel;Frankreich;BRD;1;1;NA
1968-10-13;14:30;WM-Qualifikation (Europa);Österreich;BRD;0;2;NA
1968-11-23;00:00;WM-Qualifikation (Europa);Zypern;BRD;0;1;NA
1968-12-14;00:00;Länderspiel;Brasilien;BRD;2;2;NA
1968-12-18;00:00;Länderspiel;Chile;BRD;2;1;NA
1968-12-22;00:00;Länderspiel;Mexiko;BRD;0;0;NA
1969-03-26;00:00;Länderspiel;BRD;Wales;1;1;NA
1969-04-16;00:00;WM-Qualifikation (Europa);Schottland;BRD;1;1;NA
1969-05-10;16:00;WM-Qualifikation (Europa);BRD;Österreich;1;0;NA
1969-05-21;00:00;WM-Qualifikation (Europa);BRD;Zypern;12;0;NA
1969-09-21;15:00;Länderspiel;Österreich;BRD;1;1;NA
1969-09-24;00:00;Länderspiel;Bulgarien;BRD;0;1;NA
1969-10-22;00:00;WM-Qualifikation (Europa);BRD;Schottland;3;2;NA
1970-02-11;00:00;Länderspiel;Spanien;BRD;2;0;NA
1970-04-08;00:00;Länderspiel;BRD;Rumänien;1;1;NA
1970-05-09;00:00;Länderspiel;BRD;Republik Irland;2;1;NA
1970-05-13;00:00;Länderspiel;BRD;Jugoslawien;1;0;NA
1970-06-03;16:00;Weltmeisterschaft;BRD;Marokko;2;1;NA
1970-06-07;12:00;Weltmeisterschaft;BRD;Bulgarien;5;2;NA
1970-06-10;16:00;Weltmeisterschaft;BRD;Peru;3;1;NA
1970-06-14;12:00;Weltmeisterschaft;BRD;England;3;2;n.V.
