match_date;match_time;competition;home_team;away_team;home_goals;away_goals;result_extra
1970-06-17;16:00;Weltmeisterschaft;Italien;BRD;4;3;n.V.
1970-06-20;16:00;Weltmeisterschaft;BRD;Uruguay;1;0;NA
1970-09-09;00:00;Länderspiel;BRD;Ungarn;3;1;NA
1970-10-17;00:00;EM-Qualifikation;BRD;Türkei;1;1;NA
1970-11-18;00:00;Länderspiel;Jugoslawien;BRD;2;0;NA
1970-11-22;00:00;Länderspiel;Griechenland;BRD;1;3;NA
1971-02-17;00:00;EM-Qualifikation;Albanien;BRD;0;1;NA
1971-04-25;00:00;EM-Qualifikation;Türkei;BRD;0;3;NA
1971-06-12;00:00;EM-Qualifikation;BRD;Albanien;2;0;NA
1971-06-22;00:00;Länderspiel;Norwegen;BRD;1;7;NA
1971-06-27;00:00;Länderspiel;Schweden;BRD;1;0;NA
1971-06-30;00:00;Länderspiel;Dänemark;BRD;1;3;NA
1971-09-08;00:00;Länderspiel;BRD;Mexiko;5;0;NA
1971-10-10;00:00;EM-Qualifikation;Polen;BRD;1;3;NA
1971-11-17;00:00;EM-Qualifikation;BRD;Polen;0;0;NA
1972-03-29;00:00;Länderspiel;Ungarn;BRD;0;2;NA
1972-04-29;00:00;EM-Qualifikation;England;BRD;1;3;NA
1972-05-13;00:00;EM-Qualifikation;BRD;England;0;0;NA
1972-05-26;00:00;Länderspiel;BRD;UdSSR;4;1;NA
1972-06-14;00:00;Europameisterschaft;BRD;Belgien;2;1;NA
1972-06-18;00:00;Europameisterschaft;BRD;UdSSR;3;0;NA
1972-11-15;00:00;Länderspiel;BRD;Schweiz;5;1;NA
1973-02-14;00:00;Länderspiel;BRD;Argentinien;2;3;NA
1973-03-28;00:00;Länderspiel;BRD;Tschechoslowakei;3;0;NA
1973-05-09;00:00;Länderspiel;BRD;Jugoslawien;0;1;NA
1973-05-12;00:00;Länderspiel;BRD;Bulgarien;3;0;NA
1973-06-16;00:00;Länderspiel;BRD;Brasilien;0;1;NA
1973-09-05;00:00;Länderspiel;UdSSR;BRD;0;1;NA
1973-10-10;20:00;Länderspiel;BRD;Österreich;4;0;NA
1973-10-13;16:00;Länderspiel;BRD;Frankreich;2;1;NA
1973-11-14;00:00;Länderspiel;Schottland;BRD;1;1;NA
1973-11-24;00:00;Länderspiel;BRD;Spanien;2;1;NA
1974-02-23;00:00;Länderspiel;Spanien;BRD;1;0;NA
1974-02-26;15:00;Länderspiel;Italien;BRD;0;0;NA
1974-03-27;00:00;Länderspiel;BRD;Schottland;2;1;NA
1974-04-17;00:00;Länderspiel;BRD;Ungarn;5;0;NA
1974-05-01;00:00;Länderspiel;BRD;Schweden;2;0;NA
1974-06-14;16:00;Weltmeisterschaft;BRD;Chile;1;0;NA
1974-06-18;16:00;Weltmeisterschaft;Australien;BRD;0;3;NA
1974-06-22;19:30;Weltmeisterschaft;DDR;BRD;1;0;NA
1974-06-26;16:00;Weltmeisterschaft;Jugoslawien;BRD;0;2;NA
1974-06-30;19:30;Weltmeisterschaft;BRD;Schweden;4;2;NA
1974-07-03;16:30;Weltmeisterschaft;Polen;BRD;0;1;NA
1974-07-07;16:00;Weltmeisterschaft;Niederlande;BRD;1;2;NA
1974-09-04;00:00;Länderspiel;Schweiz;BRD;1;2;NA
1974-11-20;00:00;EM-Qualifikation;Griechenland;BRD;2;2;NA
1974-12-22;00:00;EM-Qualifikation;Malta;BRD;0;1;NA
1975-03-12;00:00;Länderspiel;England;BRD;2;0;NA
1975-04-27;00:00;EM-Qualifikation;Bulgarien;BRD;1;1;NA
1975-05-17;00:00;Länderspiel;BRD;Niederlande;1;1;NA
1975-09-03;19:00;Länderspiel;Österreich;BRD;0;2;NA
1975-10-11;00:00;EM-Qualifikation;BRD;Griechenland;1;1;NA
1975-11-19;00:00;EM-Qualifikation;BRD;Bulgarien;1;0;NA
1975-12-20;00:00;Länderspiel;Türkei;BRD;0;5;NA
1976-02-28;00:00;EM-Qualifikation;BRD;Malta;8;0;NA
1976-04-24;00:00;EM-Qualifikation;Spanien;BRD;1;1;NA
1976-05-22;00:00;EM-Qualifikation;BRD;Spanien;2;0;NA
1976-06-17;00:00;Europameisterschaft;BRD;Jugoslawien;4;2;n.V.
1976-06-20;00:00;Europameisterschaft;Tschechoslowakei;BRD;5;3;i.E.
1976-10-06;00:00;Länderspiel;Wales;BRD;0;2;NA
1976-11-17;00:00;Länderspiel;BRD;Tschechoslowakei;2;0;NA
1977-02-23;00:00;Länderspiel;Frankreich;BRD;1;0;NA
1977-04-27;00:00;Länderspiel;BRD;Nordirland;5;0;NA
1977-04-30;00:00;Länderspiel;Jugoslawien;BRD;1;2;NA
1977-06-05;00:00;Länderspiel;Argentinien;BRD;1;3;NA
1977-06-08;00:00;Länderspiel;Uruguay;BRD;0;2;NA
1977-06-12;00:00;Länderspiel;Brasilien;BRD;1;1;NA
1977-06-14;00:00;Länderspiel;Mexiko;BRD;2;2;NA
1977-09-07;00:00;Länderspiel;Finnland;BRD;0;1;NA
1977-10-08;00:00;Länderspiel;BRD;Italien;2;1;NA
1977-11-16;00:00;Länderspiel;BRD;Schweiz;4;1;NA
1977-12-14;00:00;Länderspiel;BRD;Wales;1;1;NA
1978-02-22;00:00;Länderspiel;BRD;England;2;1;NA
1978-03-08;00:00;Länderspiel;BRD;UdSSR;1;0;NA
1978-04-05;00:00;Länderspiel;BRD;Brasilien;0;1;NA
1978-04-19;00:00;Länderspiel;Schweden;BRD;3;1;NA
1978-06-01;15:00;Weltmeisterschaft;BRD;Polen;0;0;NA
1978-06-06;16:45;Weltmeisterschaft;BRD;Mexiko;6;0;NA
1978-06-10;16:45;Weltmeisterschaft;BRD;Tunesien;0;0;NA
1978-06-14;13:45;Weltmeisterschaft;BRD;Italien;0;0;NA
1978-06-18;16:45;Weltmeisterschaft;BRD;Niederlande;2;2;NA
1978-06-21;13:45;Weltmeisterschaft;Österreich;BRD;3;2;NA
1978-10-11;00:00;Länderspiel;Tschechoslowakei;BRD;3;4;NA
1978-11-15;00:00;Länderspiel;BRD;Ungarn;0;0;abgebr.
1978-12-20;00:00;Länderspiel;BRD;Niederlande;3;1;NA
1979-02-25;00:00;EM-Qualifikation;Malta;BRD;0;0;NA
1979-04-01;00:00;EM-Qualifikation;Türkei;BRD;0;0;NA
1979-05-02;00:00;EM-Qualifikation;Wales;BRD;0;2;NA
1979-05-22;00:00;Länderspiel;Republik Irland;BRD;1;3;NA
1979-05-26;00:00;Länderspiel;Island;BRD;1;3;NA
1979-09-12;00:00;Länderspiel;BRD;Argentinien;2;1;NA
1979-10-17;00:00;EM-Qualifikation;BRD;Wales;5;1;NA
1979-11-21;00:00;Länderspiel;UdSSR;BRD;1;3;NA
1979-12-22;00:00;EM-Qualifikation;BRD;Türkei;2;0;NA
1980-02-27;00:00;EM-Qualifikation;BRD;Malta;8;0;NA
1980-04-02;19:30;Länderspiel;BRD;Österreich;1;0;NA
1980-05-13;00:00;Länderspiel;BRD;Polen;3;1;NA
1980-06-11;00:00;Europameisterschaft;BRD;Tschechoslowakei;1;0;NA
1980-06-14;00:00;Europameisterschaft;BRD;Niederlande;3;2;NA
1980-06-17;00:00;Europameisterschaft;BRD;Griechenland;0;0;NA
1980-06-22;00:00;Europameisterschaft;BRD;Belgien;2;1;NA
1980-09-10;00:00;Länderspiel;Schweiz;BRD;2;3;NA
1980-10-11;00:00;Länderspiel;Niederlande;BRD;1;1;NA
1980-11-19;00:00;Länderspiel;BRD;Frankreich;4;1;NA
1980-12-03;00:00;WM-Qualifikation (Europa);Bulgarien;BRD;1;3;NA
1981-01-01;00:00;Länderspiel;Argentinien;BRD;2;1;NA
1981-01-07;00:00;Länderspiel;Brasilien;BRD;4;1;NA
1981-04-01;00:00;WM-Qualifikation (Europa);Albanien;BRD;0;2;NA
1981-04-29;20:15;WM-Qualifikation (Europa);BRD;Österreich;2;0;NA
1981-05-19;00:00;Länderspiel;BRD;Brasilien;1;2;NA
1981-05-24;00:00;WM-Qualifikation (Europa);Finnland;BRD;0;4;NA
1981-09-02;00:00;Länderspiel;Polen;BRD;0;2;NA
1981-09-23;00:00;WM-Qualifikation (Europa);BRD;Finnland;7;1;NA
1981-10-14;19:00;WM-Qualifikation (Europa);Österreich;BRD;1;3;NA
1981-11-18;00:00;WM-Qualifikation (Europa);BRD;Albanien;8;0;NA
1981-11-22;00:00;WM-Qualifikation (Europa);BRD;Bulgarien;4;0;NA
1982-02-17;00:00;Länderspiel;BRD;Portugal;3;1;NA
1982-03-21;00:00;Länderspiel;Brasilien;BRD;1;0;NA
1982-03-24;00:00;Länderspiel;Argentinien;BRD;1;1;NA
1982-04-14;00:00;Länderspiel;BRD;Tschechoslowakei;2;1;NA
1982-05-12;00:00;Länderspiel;Norwegen;BRD;2;4;NA
1982-06-16;17:15;Weltmeisterschaft;BRD;Algerien;1;2;NA
1982-06-20;17:15;Weltmeisterschaft;BRD;Chile;4;1;NA
1982-06-25;17:15;Weltmeisterschaft;BRD;Österreich;1;0;NA
1982-06-29;21:00;Weltmeisterschaft;BRD;England;0;0;NA
1982-07-02;21:00;Weltmeisterschaft;BRD;Spanien;2;1;NA
1982-07-08;21:00;Weltmeisterschaft;BRD;Frankreich;5;4;i.E.
1982-07-11;20:00;Weltmeisterschaft;Italien;BRD;3;1;NA
1982-09-22;00:00;Länderspiel;BRD;Belgien;0;0;NA
1982-10-13;00:00;Länderspiel;England;BRD;1;2;NA
1982-11-17;00:00;EM-Qualifikation;Nordirland;BRD;1;0;NA
1983-02-23;00:00;Länderspiel;Portugal;BRD;1;0;NA
1983-03-30;00:00;EM-Qualifikation;Albanien;BRD;1;2;NA
1983-04-23;00:00;EM-Qualifikation;Türkei;BRD;0;3;NA
1983-04-27;00:00;EM-Qualifikation;Österreich;BRD;0;0;NA
1983-06-07;00:00;Länderspiel;BRD;Jugoslawien;4;2;NA
1983-09-07;00:00;Länderspiel;Ungarn;BRD;1;1;NA
1983-10-05;00:00;EM-Qualifikation;BRD;Österreich;3;0;NA
1983-10-26;00:00;EM-Qualifikation;BRD;Türkei;5;1;NA
1983-11-16;15:30;EM-Qualifikation;BRD;Nordirland;0;1;NA
1983-11-20;00:00;EM-Qualifikation;BRD;Albanien;2;1;NA
1984-02-15;00:00;Länderspiel;Bulgarien;BRD;2;3;NA
1984-02-29;00:00;Länderspiel;Belgien;BRD;0;1;NA
1984-03-28;NA;Länderspiel;BRD;UdSSR;2;1;NA
1984-04-18;00:00;Länderspiel;Frankreich;BRD;1;0;NA
1984-05-22;00:00;Länderspiel;BRD;Italien;1;0;NA
1984-06-14;00:00;Europameisterschaft;Portugal;BRD;0;0;NA
1984-06-17;00:00;Europameisterschaft;BRD;Rumänien;2;1;NA
1984-06-20;00:00;Europameisterschaft;Spanien;BRD;1;0;NA
1984-09-12;00:00;Länderspiel;BRD;Argentinien;1;3;NA
1984-10-17;00:00;WM-Qualifikation (Europa);BRD;Schweden;2;0;NA
1984-12-16;00:00;WM-Qualifikation (Europa);Malta;BRD;2;3;NA
1985-01-29;20:15;Länderspiel;BRD;Ungarn;0;1;NA
1985-02-24;00:00;WM-Qualifikation (Europa);Portugal;BRD;1;2;NA
1985-03-27;00:00;WM-Qualifikation (Europa);BRD;Malta;6;0;NA
1985-04-17;00:00;Länderspiel;BRD;Bulgarien;4;1;NA
1985-04-30;00:00;WM-Qualifikation (Europa);Tschechoslowakei;BRD;1;5;NA
1985-06-12;00:00;Länderspiel;BRD;England;0;3;NA
1985-06-15;00:00;Länderspiel;Mexiko;BRD;2;0;NA
1985-08-28;00:00;Länderspiel;UdSSR;BRD;1;0;NA
1985-09-25;00:00;WM-Qualifikation (Europa);Schweden;BRD;2;2;NA
1985-10-16;00:00;WM-Qualifikation (Europa);BRD;Portugal;0;1;NA
1985-11-17;00:00;WM-Qualifikation (Europa);BRD;Tschechoslowakei;2;2;NA
1986-02-05;00:00;Länderspiel;Italien;BRD;1;2;NA
1986-03-12;00:00;Länderspiel;BRD;Brasilien;2;0;NA
1986-04-09;00:00;Länderspiel;Schweiz;BRD;0;1;NA
1986-05-11;00:00;Länderspiel;BRD;Jugoslawien;1;1;NA
1986-05-14;00:00;Länderspiel;BRD;Niederlande;3;1;NA
1986-06-04;12:00;Weltmeisterschaft;Uruguay;BRD;1;1;NA
1986-06-08;12:00;Weltmeisterschaft;BRD;Schottland;2;1;NA
1986-06-13;12:00;Weltmeisterschaft;Dänemark;BRD;2;0;NA
1986-06-17;16:00;Weltmeisterschaft;Marokko;BRD;0;1;NA
1986-06-21;16:00;Weltmeisterschaft;BRD;Mexiko;4;1;i.E.
1986-06-25;12:00;Weltmeisterschaft;Frankreich;BRD;0;2;NA
1986-06-29;12:00;Weltmeisterschaft;Argentinien;BRD;3;2;NA
1986-09-24;00:00;Länderspiel;Dänemark;BRD;0;2;NA
1986-10-15;20:15;Länderspiel;BRD;Spanien;2;2;NA
1986-10-29;19:30;Länderspiel;Österreich;BRD;4;1;NA
1987-03-25;20:00;Länderspiel;Israel;BRD;0;2;NA
1987-04-18;00:00;Länderspiel;BRD;Italien;0;0;NA
1987-08-12;00:00;Länderspiel;BRD;Frankreich;2;1;NA
1987-09-09;00:00;Länderspiel;BRD;England;3;1;NA
1987-09-23;00:00;Länderspiel;BRD;Dänemark;1;0;NA
1987-10-14;00:00;Länderspiel;BRD;Schweden;1;1;NA
1987-11-18;00:00;Länderspiel;Ungarn;BRD;0;0;NA
1987-12-12;00:00;Länderspiel;Brasilien;BRD;1;1;NA
1987-12-16;00:00;Länderspiel;Argentinien;BRD;1;0;NA
1988-03-31;00:00;Länderspiel;BRD;Schweden;2;4;i.E.
1988-04-02;00:00;Länderspiel;BRD;Argentinien;1;0;NA
1988-04-27;00:00;Länderspiel;BRD;Schweiz;1;0;NA
1988-06-04;00:00;Länderspiel;BRD;Jugoslawien;1;1;NA
1988-06-10;00:00;Europameisterschaft;Italien;BRD;1;1;NA
1988-06-14;00:00;Europameisterschaft;BRD;Dänemark;2;0;NA
1988-06-17;00:00;Europameisterschaft;BRD;Spanien;2;0;NA
1988-06-21;00:00;Europameisterschaft;Niederlande;BRD;2;1;NA
1988-08-31;00:00;WM-Qualifikation (Europa);Finnland;BRD;0;4;NA
1988-09-21;00:00;Länderspiel;BRD;UdSSR;1;0;NA
1988-10-19;20:15;WM-Qualifikation (Europa);BRD;Niederlande;0;0;NA
1989-03-22;00:00;Länderspiel;Bulgarien;BRD;1;2;NA
1989-04-26;00:00;WM-Qualifikation (Europa);Niederlande;BRD;1;1;NA
1989-05-31;00:00;WM-Qualifikation (Europa);Wales;BRD;0;0;NA
1989-09-06;00:00;Länderspiel;Republik Irland;BRD;1;1;NA
1989-10-04;00:00;WM-Qualifikation (Europa);BRD;Finnland;6;1;NA
1989-11-15;00:00;WM-Qualifikation (Europa);BRD;Wales;2;1;NA
1990-02-28;00:00;Länderspiel;Frankreich;Deutschland;2;1;NA
1990-04-25;00:00;Länderspiel;Deutschland;Uruguay;3;3;NA
1990-05-26;00:00;Länderspiel;Deutschland;Tschechische und Slowakische Föderative Republik (CSFR);1;0;NA
1990-05-30;00:00;Länderspiel;Deutschland;Dänemark;1;0;NA
1990-06-10;21:00;Weltmeisterschaft;Deutschland;Jugoslawien;4;1;NA
1990-06-15;21:00;Weltmeisterschaft;Deutschland;VA Emirate;5;1;NA
1990-06-19;17:00;Weltmeisterschaft;Deutschland;Kolumbien;1;1;NA
1990-06-24;21:00;Weltmeisterschaft;Deutschland;Niederlande;2;1;NA
1990-07-01;17:00;Weltmeisterschaft;Deutschland;Tschechische und Slowakische Föderative Republik (CSFR);1;0;NA
1990-07-04;20:00;Weltmeisterschaft;Deutschland;England;4;3;i.E.
1990-07-08;20:00;Weltmeisterschaft;Deutschland;Argentinien;1;0;NA
1990-08-29;00:00;Länderspiel;Portugal;Deutschland;1;1;NA
1990-10-10;00:00;Länderspiel;Schweden;Deutschland;1;3;NA
1990-10-31;00:00;EM-Qualifikation;Luxemburg;Deutschland;2;3;NA
1990-12-19;00:00;Länderspiel;Deutschland;Schweiz;4;0;NA
1991-03-27;00:00;Länderspiel;Deutschland;UdSSR;2;1;NA
1991-05-01;00:00;EM-Qualifikation;Deutschland;Belgien;1;0;NA
1991-06-05;00:00;EM-Qualifikation;Wales;Deutschland;1;0;NA
1991-09-11;00:00;Länderspiel;England;Deutschland;0;1;NA
1991-10-16;00:00;EM-Qualifikation;Deutschland;Wales;4;1;NA
1991-11-20;00:00;EM-Qualifikation;Belgien;Deutschland;0;1;NA
1991-12-18;00:00;EM-Qualifikation;Deutschland;Luxemburg;4;0;NA
1992-03-25;00:00;Länderspiel;Italien;Deutschland;1;0;NA
1992-04-22;00:00;Länderspiel;Tschechische und Slowakische Föderative Republik (CSFR);Deutschland;1;1;NA
1992-05-30;00:00;Länderspiel;Deutschland;Türkei;1;0;NA
1992-06-02;00:00;Länderspiel;Deutschland;Nordirland;1;1;NA
1992-06-12;00:00;Europameisterschaft;Gemeinschaft Unabhängiger Staaten;Deutschland;1;1;NA
1992-06-15;00:00;Europameisterschaft;Deutschland;Schottland;2;0;NA
1992-06-18;00:00;Europameisterschaft;Niederlande;Deutschland;3;1;NA
1992-06-21;00:00;Europameisterschaft;Deutschland;Schweden;3;2;NA
1992-06-26;00:00;Europameisterschaft;Dänemark;Deutschland;2;0;NA
1992-09-09;00:00;Länderspiel;Dänemark;Deutschland;1;2;NA
1992-10-14;00:00;Länderspiel;Deutschland;Mexiko;1;1;NA
1992-11-18;17:00;Länderspiel;Deutschland;Österreich;0;0;NA
1992-12-16;00:00;Länderspiel;Brasilien;Deutschland;3;1;NA
1992-12-20;00:00;Länderspiel;Uruguay;Deutschland;1;4;NA
1993-03-24;00:00;Länderspiel;Schottland;Deutschland;0;1;NA
1993-04-14;00:00;Länderspiel;Deutschland;Ghana;6;1;NA
1993-06-10;00:00;Länderspiel;Deutschland;Brasilien;3;3;NA
1993-06-13;00:00;Länderspiel;USA;Deutschland;3;4;NA
1993-06-19;00:00;Länderspiel;Deutschland;England;2;1;NA
1993-09-22;00:00;Länderspiel;Tunesien;Deutschland;1;1;NA
1993-10-13;00:00;Länderspiel;Deutschland;Uruguay;5;0;NA
1993-11-17;00:00;Länderspiel;Deutschland;Brasilien;2;1;NA
1993-12-15;00:00;Länderspiel;Deutschland;Argentinien;1;2;NA
1993-12-18;00:00;Länderspiel;USA;Deutschland;0;3;NA
1993-12-22;00:00;Länderspiel;Mexiko;Deutschland;0;0;NA
1994-03-23;00:00;Länderspiel;Deutschland;Italien;2;1;NA
1994-04-27;00:00;Länderspiel;VA Emirate;Deutschland;0;2;NA
1994-05-29;00:00;Länderspiel;Deutschland;Republik Irland;0;2;NA
1994-06-02;15:30;Länderspiel;Österreich;Deutschland;1;5;NA
1994-06-08;00:00;Länderspiel;Kanada;Deutschland;0;2;NA
1994-06-17;21:00;Weltmeisterschaft;Deutschland;Bolivien;1;0;NA
1994-06-21;22:00;Weltmeisterschaft;Deutschland;Spanien;1;1;NA
1994-06-27;22:00;Weltmeisterschaft;Deutschland;Südkorea;3;2;NA
1994-07-02;19:00;Weltmeisterschaft;Deutschland;Belgien;3;2;NA
1994-07-10;18:00;Weltmeisterschaft;Bulgarien;Deutschland;2;1;NA
1994-09-07;00:00;Länderspiel;Russland;Deutschland;0;1;NA
1994-10-12;00:00;Länderspiel;Ungarn;Deutschland;0;0;NA
1994-11-16;00:00;EM-Qualifikation;Albanien;Deutschland;1;2;NA
1994-12-14;00:00;EM-Qualifikation;Moldau;Deutschland;0;3;NA
1994-12-18;00:00;EM-Qualifikation;Deutschland;Albanien;2;1;NA
1995-02-22;00:00;Länderspiel;Spanien;Deutschland;0;0;NA
1995-03-29;00:00;EM-Qualifikation;Georgien;Deutschland;0;2;NA
1995-04-26;00:00;EM-Qualifikation;Deutschland;Wales;1;1;NA
1995-06-07;00:00;EM-Qualifikation;Bulgarien;Deutschland;3;2;NA
1995-06-21;00:00;Länderspiel;Deutschland;Italien;2;0;NA
1995-06-23;00:00;Länderspiel;Schweiz;Deutschland;1;2;NA
1995-08-23;00:00;Länderspiel;Belgien;Deutschland;1;2;NA
1995-09-06;00:00;EM-Qualifikation;Deutschland;Georgien;4;1;NA
1995-10-08;00:00;EM-Qualifikation;Deutschland;Moldau;6;1;NA
1995-10-11;00:00;EM-Qualifikation;Wales;Deutschland;1;2;NA
1995-11-15;00:00;EM-Qualifikation;Deutschland;Bulgarien;3;1;NA
1995-12-15;00:00;Länderspiel;Südafrika;Deutschland;0;0;NA
1996-02-21;00:00;Länderspiel;Portugal;Deutschland;1;2;NA
1996-03-27;00:00;Länderspiel;Deutschland;Dänemark;2;0;NA
1996-04-24;00:00;Länderspiel;Niederlande;Deutschland;0;1;NA
1996-05-29;00:00;Länderspiel;Nordirland;Deutschland;1;1;NA
1996-06-01;17:00;Länderspiel;Deutschland;Frankreich;0;1;NA
1996-06-04;00:00;Länderspiel;Deutschland;Liechtenstein;9;1;NA
1996-06-09;18:00;Europameisterschaft;Deutschland;Tschechien;2;0;NA
1996-06-16;17:30;Europameisterschaft;Deutschland;Russland;3;0;NA
1996-06-19;20:30;Europameisterschaft;Deutschland;Italien;0;0;NA
1996-06-23;16:00;Europameisterschaft;Deutschland;Kroatien;2;1;NA
1996-06-26;20:30;Europameisterschaft;Deutschland;England;6;5;i.E.
1996-06-30;20:00;Europameisterschaft;Deutschland;Tschechien;2;1;n.V.
1996-09-04;00:00;Länderspiel;Polen;Deutschland;0;2;NA
1996-10-09;00:00;WM-Qualifikation (Europa);Armenien;Deutschland;1;5;NA
1996-11-09;00:00;WM-Qualifikation (Europa);Deutschland;Nordirland;1;1;NA
1996-12-14;00:00;WM-Qualifikation (Europa);Portugal;Deutschland;0;0;NA
1997-02-26;00:00;Länderspiel;Israel;Deutschland;0;1;NA
1997-04-02;NA;WM-Qualifikation (Europa);Albanien;Deutschland;2;3;NA
1997-04-30;00:00;WM-Qualifikation (Europa);Deutschland;Ukraine;2;0;NA
1997-06-07;00:00;WM-Qualifikation (Europa);Ukraine;Deutschland;0;0;NA
1997-08-20;00:00;WM-Qualifikation (Europa);Nordirland;Deutschland;1;3;NA
1997-09-06;00:00;WM-Qualifikation (Europa);Deutschland;Portugal;1;1;NA
1997-09-10;00:00;WM-Qualifikation (Europa);Deutschland;Armenien;4;0;NA
1997-10-11;00:00;WM-Qualifikation (Europa);Deutschland;Albanien;4;3;NA
1997-11-15;00:00;Länderspiel;Deutschland;Südafrika;3;0;NA
1998-02-18;00:00;Länderspiel;Oman;Deutschland;0;2;NA
1998-02-22;00:00;Länderspiel;Saudi-Arabien;Deutschland;0;3;NA
1998-03-25;00:00;Länderspiel;Deutschland;Brasilien;1;2;NA
1998-04-22;00:00;Länderspiel;Deutschland;Nigeria;1;0;NA
1998-05-27;00:00;Länderspiel;Finnland;Deutschland;0;0;NA
1998-05-30;00:00;Länderspiel;Deutschland;Kolumbien;3;1;NA
1998-06-05;00:00;Länderspiel;Deutschland;Luxemburg;7;0;NA
1998-06-15;21:00;Weltmeisterschaft;Deutschland;USA;2;0;NA
1998-06-21;14:30;Weltmeisterschaft;Deutschland;Jugoslawien;2;2;NA
1998-06-25;21:00;Weltmeisterschaft;Deutschland;Iran;2;0;NA
1998-06-29;16:30;Weltmeisterschaft;Deutschland;Mexiko;2;1;NA
1998-07-04;21:00;Weltmeisterschaft;Deutschland;Kroatien;0;3;NA
1998-09-02;00:00;Länderspiel;Malta;Deutschland;1;2;NA
1998-09-05;00:00;Länderspiel;Deutschland;Rumänien;1;1;NA
1998-10-10;00:00;EM-Qualifikation;Türkei;Deutschland;1;0;NA
1998-10-14;00:00;EM-Qualifikation;Moldau;Deutschland;1;3;NA
1998-11-18;00:00;Länderspiel;Deutschland;Niederlande;1;1;NA
1999-02-06;19:00;Länderspiel;USA;Deutschland;3;0;NA
1999-02-09;21:00;Länderspiel;Deutschland;Kolumbien;3;3;NA
1999-03-27;16:00;EM-Qualifikation;Nordirland;Deutschland;0;3;NA
1999-03-31;20:30;EM-Qualifikation;Deutschland;Finnland;2;0;NA
1999-04-28;20:30;Länderspiel;Deutschland;Schottland;0;1;NA
1999-06-04;20:30;EM-Qualifikation;Deutschland;Moldau;6;1;NA
1999-07-24;12:00;Confederations Cup;Brasilien;Deutschland;4;0;NA
1999-07-28;18:00;Confederations Cup;Deutschland;Neuseeland;2;0;NA
1999-07-30;18:00;Confederations Cup;USA;Deutschland;2;0;NA
1999-09-04;19:00;EM-Qualifikation;Finnland;Deutschland;1;2;NA
1999-09-08;20:30;EM-Qualifikation;Deutschland;Nordirland;4;0;NA
1999-10-09;19:30;EM-Qualifikation;Deutschland;Türkei;0;0;NA
1999-11-14;17:30;Länderspiel;Norwegen;Deutschland;0;1;NA
2000-02-23;20:15;Länderspiel;Niederlande;Deutschland;2;1;NA
2000-03-29;19:00;Länderspiel;Kroatien;Deutschland;1;1;NA
2000-04-26;20:30;Länderspiel;Deutschland;Schweiz;1;1;NA
2000-06-03;19:00;Länderspiel;Deutschland;Tschechien;3;2;NA
2000-06-07;19:30;Länderspiel;Deutschland;Liechtenstein;8;2;NA
2000-06-12;18:00;Europameisterschaft;Deutschland;Rumänien;1;1;NA
2000-06-17;20:45;Europameisterschaft;England;Deutschland;1;0;NA
2000-06-20;20:45;Europameisterschaft;Portugal;Deutschland;3;0;NA
2000-08-16;20:30;Länderspiel;Deutschland;Spanien;4;1;NA
2000-09-02;19:00;WM-Qualifikation (Europa);Deutschland;Griechenland;2;0;NA
2000-10-07;16:00;WM-Qualifikation (Europa);England;Deutschland;0;1;NA
2000-11-15;19:15;Länderspiel;Dänemark;Deutschland;2;1;NA
2001-02-27;20:45;Länderspiel;Frankreich;Deutschland;1;0;NA
