season,start_year,position,team,played,won,draw,lost,goals,goals_against,goal_diff,points,points_2pt,points_3pt
1963/1964,1964,1,1. FC Köln,30,17,11,2,78,40,38,45,45,62
1963/1964,1964,2,Meidericher SV,30,13,13,4,60,36,24,39,39,52
1963/1964,1964,3,Eintracht Frankfurt,30,16,7,7,65,41,24,39,39,55
1963/1964,1964,4,Borussia Dortmund,30,14,5,11,73,57,16,33,33,47
1963/1964,1964,5,VfB Stuttgart,30,13,7,10,48,40,8,33,33,46
1963/1964,1964,6,Hamburger SV,30,11,10,9,69,60,9,32,32,43
1963/1964,1964,7,TSV 1860 München,30,11,9,10,66,50,16,31,31,42
1963/1964,1964,8,FC Schalke 04,30,12,5,13,51,53,-2,29,29,41
1963/1964,1964,9,1. FC Nürnberg,30,11,7,12,45,56,-11,29,29,40
1963/1964,1964,10,SV Werder Bremen,30,10,8,12,53,62,-9,28,28,38
1963/1964,1964,11,Eintracht Braunschweig,30,11,6,13,36,49,-13,28,28,39
1963/1964,1964,12,1. FC Kaiserslautern,30,10,6,14,48,69,-21,26,26,36
1963/1964,1964,13,Karlsruher SC,30,8,8,14,42,55,-13,24,24,32
1963/1964,1964,14,Hertha BSC,30,9,6,15,45,65,-20,24,24,33
1963/1964,1964,15,SC Preußen Münster,30,7,9,14,34,52,-18,23,23,30
1963/1964,1964,16,1. FC Saarbrücken,30,6,5,19,44,72,-28,17,17,23
1964/1965,1965,1,SV Werder Bremen,30,15,11,4,54,29,25,41,41,56
1964/1965,1965,2,1. FC Köln,30,14,10,6,66,45,21,38,38,52
1964/1965,1965,3,Borussia Dortmund,30,15,6,9,67,48,19,36,36,51
1964/1965,1965,4,TSV 1860 München,30,14,7,9,70,50,20,35,35,49
1964/1965,1965,5,Hannover 96,30,13,7,10,48,42,6,33,33,46
1964/1965,1965,6,1. FC Nürnberg,30,11,10,9,44,38,6,32,32,43
1964/1965,1965,7,Meidericher SV,30,12,8,10,46,48,-2,32,32,44
1964/1965,1965,8,Eintracht Frankfurt,30,11,7,12,50,58,-8,29,29,40
1964/1965,1965,9,Eintracht Braunschweig,30,10,8,12,42,47,-5,28,28,38
1964/1965,1965,10,Borussia Neunkirchen,30,9,9,12,44,48,-4,27,27,36
1964/1965,1965,11,Hamburger SV,30,11,5,14,46,56,-10,27,27,38
1964/1965,1965,12,VfB Stuttgart,30,9,8,13,46,50,-4,26,26,35
1964/1965,1965,13,1. FC Kaiserslautern,30,11,3,16,41,53,-12,25,25,36
1964/1965,1965,14,Hertha BSC,30,7,11,12,40,62,-22,25,25,32
1964/1965,1965,15,Karlsruher SC,30,9,6,15,47,62,-15,24,24,33
1964/1965,1965,16,FC Schalke 04,30,7,8,15,45,60,-15,22,22,29
1965/1966,1966,1,TSV 1860 München,34,20,10,4,80,40,40,50,50,70
1965/1966,1966,2,Borussia Dortmund,34,19,9,6,70,36,34,47,47,66
1965/1966,1966,3,Bayern München,34,20,7,7,71,38,33,47,47,67
1965/1966,1966,4,SV Werder Bremen,34,21,3,10,76,40,36,45,45,66
1965/1966,1966,5,1. FC Köln,34,19,6,9,74,41,33,44,44,63
1965/1966,1966,6,1. FC Nürnberg,34,14,11,9,54,43,11,39,39,53
1965/1966,1966,7,Eintracht Frankfurt,34,16,6,12,64,46,18,38,38,54
1965/1966,1966,8,Meidericher SV,34,14,8,12,70,48,22,36,36,50
1965/1966,1966,9,Hamburger SV,34,13,8,13,64,52,12,34,34,47
1965/1966,1966,10,Eintracht Braunschweig,34,11,12,11,49,49,0,34,34,45
1965/1966,1966,11,VfB Stuttgart,34,13,6,15,42,48,-6,32,32,45
1965/1966,1966,12,Hannover 96,34,11,8,15,59,57,2,30,30,41
1965/1966,1966,13,Borussia Mönchengladbach,34,9,11,14,57,68,-11,29,29,38
1965/1966,1966,14,FC Schalke 04,34,10,7,17,33,55,-22,27,27,37
1965/1966,1966,15,1. FC Kaiserslautern,34,8,10,16,42,65,-23,26,26,34
1965/1966,1966,16,Karlsruher SC,34,9,6,19,35,71,-36,24,24,33
1965/1966,1966,17,Borussia Neunkirchen,34,9,4,21,32,82,-50,22,22,31
1965/1966,1966,18,SV Tasmania Berlin,34,2,4,28,15,108,-93,8,8,10
1966/1967,1967,1,Eintracht Braunschweig,34,17,9,8,49,27,22,43,43,60
1966/1967,1967,2,TSV 1860 München,34,17,7,10,60,47,13,41,41,58
1966/1967,1967,3,Borussia Dortmund,34,15,9,10,70,41,29,39,39,54
1966/1967,1967,4,Eintracht Frankfurt,34,15,9,10,66,49,17,39,39,54
1966/1967,1967,5,1. FC Kaiserslautern,34,13,12,9,43,42,1,38,38,51
1966/1967,1967,6,Bayern München,34,16,5,13,62,47,15,37,37,53
1966/1967,1967,7,1. FC Köln,34,14,9,11,48,48,0,37,37,51
1966/1967,1967,8,Borussia Mönchengladbach,34,12,10,12,70,49,21,34,34,46
1966/1967,1967,9,Hannover 96,34,13,8,13,40,46,-6,34,34,47
1966/1967,1967,10,1. FC Nürnberg,34,12,10,12,43,50,-7,34,34,46
1966/1967,1967,11,MSV Duisburg,34,10,13,11,40,42,-2,33,33,43
1966/1967,1967,12,VfB Stuttgart,34,10,13,11,48,54,-6,33,33,43
1966/1967,1967,13,Karlsruher SC,34,11,9,14,54,62,-8,31,31,42
1966/1967,1967,14,Hamburger SV,34,10,10,14,37,53,-16,30,30,40
1966/1967,1967,15,FC Schalke 04,34,12,6,16,37,63,-26,30,30,42
1966/1967,1967,16,SV Werder Bremen,34,10,9,15,49,56,-7,29,29,39
1966/1967,1967,17,Fortuna Düsseldorf,34,9,7,18,44,66,-22,25,25,34
1966/1967,1967,18,Rot-Weiss Essen,34,6,13,15,35,53,-18,25,25,31
1967/1968,1968,1,1. FC Nürnberg,34,19,9,6,71,37,34,47,47,66
1967/1968,1968,2,SV Werder Bremen,34,18,8,8,68,51,17,44,44,62
1967/1968,1968,3,Borussia Mönchengladbach,34,15,12,7,77,45,32,42,42,57
1967/1968,1968,4,1. FC Köln,34,17,4,13,68,52,16,38,38,55
1967/1968,1968,5,Bayern München,34,16,6,12,68,58,10,38,38,54
1967/1968,1968,6,Eintracht Frankfurt,34,15,8,11,58,51,7,38,38,53
1967/1968,1968,7,MSV Duisburg,34,13,10,11,69,58,11,36,36,49
1967/1968,1968,8,VfB Stuttgart,34,14,7,13,65,54,11,35,35,49
1967/1968,1968,9,Eintracht Braunschweig,34,15,5,14,37,39,-2,35,35,50
1967/1968,1968,10,Hannover 96,34,12,10,12,48,52,-4,34,34,46
1967/1968,1968,11,Alemannia Aachen,34,13,8,13,52,66,-14,34,34,47
1967/1968,1968,12,TSV 1860 München,34,11,11,12,55,39,16,33,33,44
1967/1968,1968,13,Hamburger SV,34,11,11,12,51,54,-3,33,33,44
1967/1968,1968,14,Borussia Dortmund,34,12,7,15,60,59,1,31,31,43
1967/1968,1968,15,FC Schalke 04,34,11,8,15,42,48,-6,30,30,41
1967/1968,1968,16,1. FC Kaiserslautern,34,8,12,14,39,67,-28,28,28,36
1967/1968,1968,17,Borussia Neunkirchen,34,7,5,22,33,93,-60,19,19,26
1967/1968,1968,18,Karlsruher SC,34,6,5,23,32,70,-38,17,17,23
1968/1969,1969,1,Bayern München,34,18,10,6,61,31,30,46,46,64
1968/1969,1969,2,Alemannia Aachen,34,16,6,12,57,51,6,38,38,54
1968/1969,1969,3,Borussia Mönchengladbach,34,13,11,10,61,46,15,37,37,50
1968/1969,1969,4,Eintracht Braunschweig,34,13,11,10,46,43,3,37,37,50
1968/1969,1969,5,VfB Stuttgart,34,14,8,12,60,54,6,36,36,50
1968/1969,1969,6,Hamburger SV,34,13,10,11,55,55,0,36,36,49
1968/1969,1969,7,FC Schalke 04,34,14,7,13,45,40,5,35,35,49
1968/1969,1969,8,Eintracht Frankfurt,34,13,8,13,46,43,3,34,34,47
1968/1969,1969,9,SV Werder Bremen,34,14,6,14,59,59,0,34,34,48
1968/1969,1969,10,TSV 1860 München,34,15,4,15,44,59,-15,34,34,49
1968/1969,1969,11,Hannover 96,34,9,14,11,47,45,2,32,32,41
1968/1969,1969,12,MSV Duisburg,34,8,16,10,33,37,-4,32,32,40
1968/1969,1969,13,Hertha BSC,34,12,8,14,31,39,-8,32,32,44
1968/1969,1969,14,1. FC Köln,34,13,6,15,47,56,-9,32,32,45
1968/1969,1969,15,1. FC Kaiserslautern,34,12,6,16,45,47,-2,30,30,42
1968/1969,1969,16,Borussia Dortmund,34,11,8,15,49,54,-5,30,30,41
1968/1969,1969,17,1. FC Nürnberg,34,9,11,14,45,55,-10,29,29,38
1968/1969,1969,18,Kickers Offenbach,34,10,8,16,42,59,-17,28,28,38
1969/1970,1970,1,Borussia Mönchengladbach,34,23,5,6,71,29,42,51,51,74
1969/1970,1970,2,Bayern München,34,21,5,8,88,37,51,47,47,68
1969/1970,1970,3,Hertha BSC,34,20,5,9,67,41,26,45,45,65
1969/1970,1970,4,1. FC Köln,34,20,3,11,83,38,45,43,43,63
1969/1970,1970,5,Borussia Dortmund,34,14,8,12,60,67,-7,36,36,50
1969/1970,1970,6,Hamburger SV,34,12,11,11,57,54,3,35,35,47
1969/1970,1970,7,VfB Stuttgart,34,14,7,13,59,62,-3,35,35,49
1969/1970,1970,8,Eintracht Frankfurt,34,12,10,12,54,54,0,34,34,46
1969/1970,1970,9,FC Schalke 04,34,11,12,11,43,54,-11,34,34,45
1969/1970,1970,10,1. FC Kaiserslautern,34,10,12,12,44,55,-11,32,32,42
1969/1970,1970,11,SV Werder Bremen,34,10,11,13,38,47,-9,31,31,41
1969/1970,1970,12,Rot-Weiss Essen,34,8,15,11,41,54,-13,31,31,39
1969/1970,1970,13,Hannover 96,34,11,8,15,49,61,-12,30,30,41
1969/1970,1970,14,SC Rot-Weiß Oberhausen,34,11,7,16,50,62,-12,29,29,40
1969/1970,1970,15,MSV Duisburg,34,9,11,14,35,48,-13,29,29,38
1969/1970,1970,16,Eintracht Braunschweig,34,9,10,15,40,49,-9,28,28,37
1969/1970,1970,17,TSV 1860 München,34,9,7,18,41,56,-15,25,25,34
1969/1970,1970,18,Alemannia Aachen,34,5,7,22,31,83,-52,17,17,22
1970/1971,1971,1,Borussia Mönchengladbach,34,20,10,4,77,35,42,50,50,70
1970/1971,1971,2,Bayern München,34,19,10,5,74,36,38,48,48,67
1970/1971,1971,3,Hertha BSC,34,16,9,9,61,43,18,41,41,57
1970/1971,1971,4,Eintracht Braunschweig,34,16,7,11,52,40,12,39,39,55
1970/1971,1971,5,Hamburger SV,34,13,11,10,54,63,-9,37,37,50
1970/1971,1971,6,FC Schalke 04,34,15,6,13,44,40,4,36,36,51
1970/1971,1971,7,MSV Duisburg,34,12,11,11,43,47,-4,35,35,47
1970/1971,1971,8,1. FC Kaiserslautern,34,15,4,15,54,57,-3,34,34,49
1970/1971,1971,9,Hannover 96,34,12,9,13,53,49,4,33,33,45
1970/1971,1971,10,SV Werder Bremen,34,11,11,12,41,40,1,33,33,44
1970/1971,1971,11,1. FC Köln,34,11,11,12,46,56,-10,33,33,44
1970/1971,1971,12,VfB Stuttgart,34,11,8,15,49,49,0,30,30,41
1970/1971,1971,13,Borussia Dortmund,34,10,9,15,54,60,-6,29,29,39
1970/1971,1971,14,Arminia Bielefeld,34,12,5,17,34,53,-19,29,29,41
1970/1971,1971,15,Eintracht Frankfurt,34,11,6,17,39,56,-17,28,28,39
1970/1971,1971,16,SC Rot-Weiß Oberhausen,34,9,9,16,54,69,-15,27,27,36
1970/1971,1971,17,Kickers Offenbach,34,9,9,16,49,65,-16,27,27,36
1970/1971,1971,18,Rot-Weiss Essen,34,7,9,18,48,68,-20,23,23,30
1971/1972,1972,1,Bayern München,34,24,7,3,101,38,63,55,55,79
1971/1972,1972,2,FC Schalke 04,34,24,4,6,76,35,41,52,52,76
1971/1972,1972,3,Borussia Mönchengladbach,34,18,7,9,82,40,42,43,43,61
1971/1972,1972,4,1. FC Köln,34,15,13,6,64,44,20,43,43,58
1971/1972,1972,5,Eintracht Frankfurt,34,16,7,11,71,61,10,39,39,55
1971/1972,1972,6,Hertha BSC,34,14,9,11,46,55,-9,37,37,51
1971/1972,1972,7,1. FC Kaiserslautern,34,14,7,13,59,53,6,35,35,49
1971/1972,1972,8,VfB Stuttgart,34,13,9,12,52,56,-4,35,35,48
1971/1972,1972,9,VfL Bochum,34,14,6,14,59,69,-10,34,34,48
1971/1972,1972,10,Hamburger SV,34,13,7,14,52,52,0,33,33,46
1971/1972,1972,11,SV Werder Bremen,34,11,9,14,63,58,5,31,31,42
1971/1972,1972,12,Eintracht Braunschweig,34,8,15,11,43,48,-5,31,31,39
1971/1972,1972,13,Fortuna Düsseldorf,34,10,10,14,40,53,-13,30,30,40
1971/1972,1972,14,MSV Duisburg,34,10,7,17,36,51,-15,27,27,37
1971/1972,1972,15,SC Rot-Weiß Oberhausen,34,7,11,16,33,66,-33,25,25,32
1971/1972,1972,16,Hannover 96,34,10,3,21,54,69,-15,23,23,33
1971/1972,1972,17,Borussia Dortmund,34,6,8,20,34,83,-49,20,20,26
1971/1972,1972,18,Arminia Bielefeld,34,6,7,21,41,75,-34,19,19,25
1972/1973,1973,1,Bayern München,34,25,4,5,93,29,64,54,54,79
1972/1973,1973,2,1. FC Köln,34,16,11,7,66,51,15,43,43,59
1972/1973,1973,3,Fortuna Düsseldorf,34,15,12,7,62,45,17,42,42,57
1972/1973,1973,4,Wuppertaler SV,34,15,10,9,62,49,13,40,40,55
1972/1973,1973,5,Borussia Mönchengladbach,34,17,5,12,82,61,21,39,39,56
1972/1973,1973,6,VfB Stuttgart,34,17,3,14,71,65,6,37,37,54
1972/1973,1973,7,Kickers Offenbach,34,14,7,13,61,60,1,35,35,49
1972/1973,1973,8,Eintracht Frankfurt,34,15,4,15,58,54,4,34,34,49
1972/1973,1973,9,1. FC Kaiserslautern,34,12,10,12,58,68,-10,34,34,46
1972/1973,1973,10,MSV Duisburg,34,12,9,13,53,54,-1,33,33,45
1972/1973,1973,11,SV Werder Bremen,34,12,7,15,50,52,-2,31,31,43
1972/1973,1973,12,VfL Bochum,34,11,9,14,50,68,-18,31,31,42
1972/1973,1973,13,Hertha BSC,34,11,8,15,53,64,-11,30,30,41
1972/1973,1973,14,Hamburger SV,34,10,8,16,53,59,-6,28,28,38
1972/1973,1973,15,FC Schalke 04,34,10,8,16,46,61,-15,28,28,38
1972/1973,1973,16,Hannover 96,34,9,8,17,49,65,-16,26,26,35
1972/1973,1973,17,Eintracht Braunschweig,34,9,7,18,33,56,-23,25,25,34
1972/1973,1973,18,SC Rot-Weiß Oberhausen,34,9,4,21,45,84,-39,22,22,31
1973/1974,1974,1,Bayern München,34,20,9,5,95,53,42,49,49,69
1973/1974,1974,2,Borussia Mönchengladbach,34,21,6,7,93,52,41,48,48,69
1973/1974,1974,3,Fortuna Düsseldorf,34,16,9,9,61,47,14,41,41,57
1973/1974,1974,4,Eintracht Frankfurt,34,15,11,8,63,50,13,41,41,56
1973/1974,1974,5,1. FC Köln,34,16,7,11,69,56,13,39,39,55
1973/1974,1974,6,1. FC Kaiserslautern,34,15,8,11,80,69,11,38,38,53
1973/1974,1974,7,FC Schalke 04,34,16,5,13,72,68,4,37,37,53
1973/1974,1974,8,Hertha BSC,34,11,11,12,56,60,-4,33,33,44
1973/1974,1974,9,VfB Stuttgart,34,12,7,15,58,57,1,31,31,43
1973/1974,1974,10,Kickers Offenbach,34,11,9,14,56,62,-6,31,31,42
1973/1974,1974,11,SV Werder Bremen,34,9,13,12,48,56,-8,31,31,40
1973/1974,1974,12,Hamburger SV,34,13,5,16,53,62,-9,31,31,44
1973/1974,1974,13,Rot-Weiss Essen,34,10,11,13,56,70,-14,31,31,41
1973/1974,1974,14,VfL Bochum,34,9,12,13,45,57,-12,30,30,39
1973/1974,1974,15,MSV Duisburg,34,11,7,16,42,56,-14,29,29,40
1973/1974,1974,16,Wuppertaler SV,34,8,9,17,42,65,-23,25,25,33
1973/1974,1974,17,Fortuna Köln,34,8,9,17,46,79,-33,25,25,33
1973/1974,1974,18,Hannover 96,34,6,10,18,50,66,-16,22,22,28
1974/1975,1975,1,Borussia Mönchengladbach,34,21,8,5,86,40,46,50,50,71
1974/1975,1975,2,Hertha BSC,34,19,6,9,61,43,18,44,44,63
1974/1975,1975,3,Eintracht Frankfurt,34,18,7,9,89,49,40,43,43,61
1974/1975,1975,4,Hamburger SV,34,18,7,9,55,38,17,43,43,61
1974/1975,1975,5,1. FC Köln,34,17,7,10,77,51,26,41,41,58
1974/1975,1975,6,Fortuna Düsseldorf,34,16,9,9,66,55,11,41,41,57
1974/1975,1975,7,FC Schalke 04,34,16,7,11,52,37,15,39,39,55
1974/1975,1975,8,Kickers Offenbach,34,17,4,13,72,62,10,38,38,55
1974/1975,1975,9,Eintracht Braunschweig,34,14,8,12,52,42,10,36,36,50
1974/1975,1975,10,Bayern München,34,14,6,14,57,63,-6,34,34,48
1974/1975,1975,11,VfL Bochum,34,14,5,15,53,53,0,33,33,47
1974/1975,1975,12,Rot-Weiss Essen,34,10,12,12,56,68,-12,32,32,42
1974/1975,1975,13,1. FC Kaiserslautern,34,13,5,16,56,55,1,31,31,44
1974/1975,1975,14,MSV Duisburg,34,12,6,16,59,77,-18,30,30,42
1974/1975,1975,15,SV Werder Bremen,34,9,7,18,45,69,-24,25,25,34
1974/1975,1975,16,VfB Stuttgart,34,8,8,18,50,79,-29,24,24,32
1974/1975,1975,17,Tennis Borussia Berlin,34,5,6,23,38,89,-51,16,16,21
1974/1975,1975,18,Wuppertaler SV,34,2,8,24,32,86,-54,12,12,14
1975/1976,1976,1,Borussia Mönchengladbach,34,16,13,5,66,37,29,45,45,61
1975/1976,1976,2,Hamburger SV,34,17,7,10,59,32,27,41,41,58
1975/1976,1976,3,Bayern München,34,15,10,9,72,50,22,40,40,55
1975/1976,1976,4,1. FC Köln,34,14,11,9,62,45,17,39,39,53
1975/1976,1976,5,Eintracht Braunschweig,34,14,11,9,52,48,4,39,39,53
1975/1976,1976,6,FC Schalke 04,34,13,11,10,76,55,21,37,37,50
1975/1976,1976,7,1. FC Kaiserslautern,34,15,7,12,66,60,6,37,37,52
1975/1976,1976,8,Rot-Weiss Essen,34,13,11,10,61,67,-6,37,37,50
1975/1976,1976,9,Eintracht Frankfurt,34,13,10,11,79,58,21,36,36,49
1975/1976,1976,10,MSV Duisburg,34,13,7,14,55,62,-7,33,33,46
1975/1976,1976,11,Hertha BSC,34,11,10,13,59,61,-2,32,32,43
1975/1976,1976,12,Fortuna Düsseldorf,34,10,10,14,47,57,-10,30,30,40
1975/1976,1976,13,SV Werder Bremen,34,11,8,15,44,55,-11,30,30,41
1975/1976,1976,14,VfL Bochum,34,12,6,16,49,62,-13,30,30,42
1975/1976,1976,15,Karlsruher SC,34,12,6,16,46,59,-13,30,30,42
1975/1976,1976,16,Hannover 96,34,9,9,16,48,60,-12,27,27,36
1975/1976,1976,17,Kickers Offenbach,34,9,9,16,40,72,-32,27,27,36
1975/1976,1976,18,FC Bayer 05 Uerdingen,34,6,10,18,28,69,-41,22,22,28
1976/1977,1977,1,Borussia Mönchengladbach,34,17,10,7,58,34,24,44,44,61
1976/1977,1977,2,FC Schalke 04,34,17,9,8,77,52,25,43,43,60
1976/1977,1977,3,Eintracht Braunschweig,34,15,13,6,56,38,18,43,43,58
1976/1977,1977,4,Eintracht Frankfurt,34,17,8,9,86,57,29,42,42,59
1976/1977,1977,5,1. FC Köln,34,17,6,11,83,61,22,40,40,57
1976/1977,1977,6,Hamburger SV,34,14,10,10,67,56,11,38,38,52
1976/1977,1977,7,Bayern München,34,14,9,11,74,65,9,37,37,51
1976/1977,1977,8,Borussia Dortmund,34,12,10,12,73,64,9,34,34,46
1976/1977,1977,9,MSV Duisburg,34,11,12,11,60,51,9,34,34,45
1976/1977,1977,10,Hertha BSC,34,13,8,13,55,54,1,34,34,47
1976/1977,1977,11,SV Werder Bremen,34,13,7,14,51,59,-8,33,33,46
1976/1977,1977,12,Fortuna Düsseldorf,34,11,9,14,52,54,-2,31,31,42
1976/1977,1977,13,1. FC Kaiserslautern,34,12,5,17,53,59,-6,29,29,41
1976/1977,1977,14,1. FC Saarbrücken,34,9,11,14,43,55,-12,29,29,38
1976/1977,1977,15,VfL Bochum,34,11,7,16,47,62,-15,29,29,40
1976/1977,1977,16,Karlsruher SC,34,9,10,15,53,75,-22,28,28,37
1976/1977,1977,17,Tennis Borussia Berlin,34,6,10,18,47,85,-38,22,22,28
1976/1977,1977,18,Rot-Weiss Essen,34,7,8,19,49,103,-54,22,22,29
1977/1978,1978,1,1. FC Köln,34,22,4,8,86,41,45,48,48,70
1977/1978,1978,2,Borussia Mönchengladbach,34,20,8,6,86,44,42,48,48,68
1977/1978,1978,3,Hertha BSC,34,15,10,9,59,48,11,40,40,55
1977/1978,1978,4,VfB Stuttgart,34,17,5,12,58,40,18,39,39,56
1977/1978,1978,5,Fortuna Düsseldorf,34,15,9,10,49,36,13,39,39,54
1977/1978,1978,6,MSV Duisburg,34,15,7,12,62,59,3,37,37,52
1977/1978,1978,7,Eintracht Frankfurt,34,16,4,14,59,52,7,36,36,52
1977/1978,1978,8,1. FC Kaiserslautern,34,16,4,14,64,63,1,36,36,52
1977/1978,1978,9,FC Schalke 04,34,14,6,14,47,52,-5,34,34,48
1977/1978,1978,10,Hamburger SV,34,14,6,14,61,67,-6,34,34,48
1977/1978,1978,11,Borussia Dortmund,34,14,5,15,57,71,-14,33,33,47
1977/1978,1978,12,Bayern München,34,11,10,13,62,64,-2,32,32,43
1977/1978,1978,13,Eintracht Braunschweig,34,14,4,16,43,53,-10,32,32,46
1977/1978,1978,14,VfL Bochum,34,11,9,14,49,51,-2,31,31,42
